Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Pitch_Speed_Kmph,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,92,Active_Noise,Straight,99.3,Mid Outside,0.169,1.009,-19.837,0.16,0.771,-19.837,0.239,0.167,1.002,-19.841,0.145,0.811,-19.842,0.192,Strike_PassedBall,Take
Sub_Test01,93,Active_Noise,Straight,95,Mid Outside,0.157,1.011,-19.822,0.282,1.082,-19.822,0.145,0.157,0.969,-19.825,0.248,1.087,-19.83,0.149,Strike,Take
Sub_Test01,94,Active_Noise,Straight,95.6,Mid Outside,0.144,0.961,-19.821,0.192,1.003,-19.821,0.064,0.167,0.939,-19.823,0.181,1.001,-19.778,0.078,Strike,Take
Sub_Test01,95,Active_Noise,Straight,97.6,Mid Outside,0.157,0.98,-19.82,0.033,0.876,-19.82,0.161,0.154,0.959,-19.831,0.068,0.896,-19.834,0.107,Strike_PassedBall,Take
Sub_Test01,96,Active_Noise,Straight,96.8,Low Outside,0.162,0.768,-19.94,0.385,0.756,-19.94,0.224,0.151,0.772,-19.949,0.251,0.73,-19.969,0.111,Ball,Take
Sub_Test01,97,Active_Noise,Straight,97.3,Low Outside,0.143,0.768,-19.916,0.124,0.574,-19.916,0.195,0.145,0.773,-19.929,0.156,0.68,-19.923,0.094,Ball,Take
Sub_Test01,98,Active_Noise,Straight,99.8,Low Outside,0.154,0.776,-19.926,0.295,0.95,-19.926,0.224,0.157,0.772,-19.932,0.283,0.934,-19.914,0.206,Strike_PassedBall,Take
Sub_Test01,99,Active_Noise,Straight,97.5,Low Outside,0.154,0.77,-19.921,0.383,0.848,-19.921,0.241,0.152,0.783,-19.927,0.241,0.905,-19.881,0.158,Ball,Take
Sub_Test01,100,Active_Noise,Straight,95.8,Low Outside,0.137,0.793,-19.909,0.086,0.665,-19.909,0.138,0.151,0.799,-19.923,0.086,0.68,-19.869,0.146,Strike,Take
Sub_Test01,101,Active_Noise,Straight,97.6,Low Outside,0.167,0.807,-19.918,0.332,0.88,-19.918,0.18,0.145,0.788,-19.951,0.3,0.86,-19.962,0.171,Ball,Take
Sub_Test01,102,Active_Noise,Straight,97.3,Low Outside,0.148,0.78,-19.947,0.332,0.683,-19.947,0.208,0.15,0.771,-19.951,0.231,0.812,-20.008,0.107,Ball,Take
Sub_Test01,103,Active_Noise,Straight,98,Low Outside,0.163,0.757,-19.956,0.036,0.878,-19.956,0.176,0.168,0.744,-19.958,0.096,0.77,-19.919,0.086,Strike_PassedBall,Take
Sub_Test01,104,Active_Noise,Straight,95.7,Low Outside,0.183,0.733,-19.963,0.095,0.547,-19.963,0.206,0.173,0.742,-19.972,0.08,0.661,-19.921,0.134,Ball_PassedBall,Take
Sub_Test01,105,Active_Noise,Straight,96.9,Low Outside,0.17,0.746,-19.947,0.297,0.819,-19.947,0.146,0.169,0.746,-19.963,0.264,0.793,-19.933,0.11,Ball_PassedBall,Take
Sub_Test01,106,Active_Noise,Straight,98.5,Low Outside,0.174,0.754,-19.95,0.203,1.005,-19.95,0.252,0.171,0.753,-19.953,0.215,0.952,-19.889,0.214,Strike,Take
